,ABS_ATE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.11896405334946861,0.0030341148376464844,0.08272886276245117
IN_STD,,,
OUT_MEAN,0.1128311519075676,0.0030341148376464844,0.010719060897827148
OUT_STD,,,
