,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.484976884157594,0.03160064103359472,0.1306464276232638,0.0035470426082611084,0.8393970429897308
IN_STD,0.00019460024349201262,0.0009355168398765833,0.00021997977340035903,0.0002384703483639211,0.0016150690908416938
OUT_MEAN,0.4844909984054011,0.031420355123599246,0.1305276225108799,0.0035470426082611084,0.2101653814315796
OUT_STD,0.0003430478947916367,0.0010699389398776842,0.00024471604409907635,0.0002384703483639211,0.0006005799314588418
