,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.18801417156673833,0.054173395635287405,0.054173395635287405,0.0020102977752685545,0.42128952741622927
IN_STD,0.0004646669199741724,0.002004715471299078,0.002004715471299076,0.00010836322527615058,0.004201410786987465
OUT_MEAN,0.18779279407502222,0.054173395635287405,0.054173395635287405,0.0020102977752685545,0.14855297803878784
OUT_STD,0.0007811805818104515,0.0020047154712990777,0.0020047154712990764,0.00010836322527615058,0.0047480708731766595
