,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,5.808430063079285,1.0877827481766604,4.447942038210493,6.480706214904785,122.83785080909729
IN_STD,,,,,
OUT_MEAN,5.978370491940353,1.273288272813268,4.724842193838084,6.480706214904785,13.31101107597351
OUT_STD,,,,,
