,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.19950166516924722,0.056831073647264696,0.17833454261614365,0.0010923385620117188,0.46467885971069334
IN_STD,0.0017920639677519528,0.0032869607841131947,0.0011804753235411252,0.00021613994841288364,0.005258890097589519
OUT_MEAN,0.1981600589526872,0.056786621621549224,0.18087510081452923,0.0010923385620117188,0.15595717430114747
OUT_STD,0.0018739936495790197,0.003210537965797893,0.0016029074260286106,0.00021613994841288364,0.0037798341832302796
