,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.4384811262423337,0.004294186824708959,0.12226796437478914,0.7272155582904816,0.027804136276245117
IN_STD,0.00019084419096436042,0.0009539737292811886,0.00015773655020957523,0.024311910005027956,0.0005740814458032433
OUT_MEAN,0.43828667090984375,0.0044883106644109105,0.1220209248380072,0.7272155582904816,0.0065729618072509766
OUT_STD,0.0005939882506703907,0.0011820032078352597,0.0001416403691465864,0.024311910005027956,0.00024990982772989334
