,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.19931186371094434,0.056453093067116045,0.17932431493038264,0.0008929252624511718,0.41800484657287595
IN_STD,0.0017539910608524443,0.0024369038226538953,0.0011291988474033657,7.880296340824254e-05,0.002879293236420382
OUT_MEAN,0.19834087032832215,0.05615448412738849,0.17714297632090203,0.0008929252624511718,0.14373555183410644
OUT_STD,0.002071322103503798,0.0025096186091295393,0.0017182112083386904,7.880296340824254e-05,0.002835908365486363
