,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.19451487824531924,0.043105164301060234,0.17534158055541163,0.0023613452911376955,0.9084403991699219
IN_STD,0.002239268309548046,0.0037694939174689403,0.0011350191694775307,0.00033997030079729624,0.010569401726644998
OUT_MEAN,0.19441761088521853,0.044062389524686524,0.1748069746636652,0.0023613452911376955,0.3164387226104736
OUT_STD,0.0017318564035419906,0.003832661412245777,0.0011030035564264368,0.00033997030079729624,0.004880498559480729
