,ABS_ATE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.0751756143924668,0.14546513557434082,0.03635406494140625
IN_STD,,,
OUT_MEAN,0.08821530710836968,0.14546513557434082,0.014971733093261719
OUT_STD,,,
