,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.19848877690099292,0.05507332959884479,0.17805863363767815,0.0011956214904785157,0.4196330070495605
IN_STD,0.0015892340982983943,0.002260294211247085,0.0007670938561743695,0.00018260006270296342,0.0077890274915001405
OUT_MEAN,0.19939456169649164,0.055477389774327125,0.17941403219771218,0.0011956214904785157,0.13954486846923828
OUT_STD,0.0015466725075648578,0.001977076502286109,0.0015281423900987982,0.00018260006270296342,0.0037159292799390673
