,RMSE_ITE,ABS_ATE,PEHE,TRAIN_TIME,PREDICT_TIME
IN_MEAN,0.18750836688245878,0.054347375720246525,0.054347375720246525,0.002000415325164795,0.4134164333343506
IN_STD,0.0004875010733836444,0.002184495241226335,0.002184495241226334,7.524858304045947e-05,0.0016445626145258473
OUT_MEAN,0.18945906526633896,0.054347375720246525,0.054347375720246525,0.002000415325164795,0.13789219856262208
OUT_STD,0.0008467719226680418,0.002184495241226334,0.0021844952412263335,7.524858304045947e-05,0.00022335319248158807
